---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024329 seconds, query time 53.875081 seconds,
ID 1, src 1564, dst 14786, status Complete, result count 289574969, preprocessing time 0.019096 seconds, query time 6.319282 seconds,
ID 2, src 947, dst 12776, status Complete, result count 91824968, preprocessing time 0.018733 seconds, query time 2.828592 seconds,
ID 3, src 5078, dst 22297, status Complete, result count 31398834, preprocessing time 0.019449 seconds, query time 0.860024 seconds,
ID 4, src 14108, dst 14645, status Complete, result count 66277450, preprocessing time 0.016788 seconds, query time 1.593361 seconds,
ID 5, src 27676, dst 20123, status Complete, result count 44872249, preprocessing time 0.020135 seconds, query time 1.150112 seconds,
ID 6, src 9842, dst 2338, status Complete, result count 2809373065, preprocessing time 0.018370 seconds, query time 45.760798 seconds,
ID 7, src 6517, dst 5306, status Complete, result count 2107857859, preprocessing time 0.020686 seconds, query time 45.060869 seconds,
ID 8, src 2034, dst 141, status Complete, result count 272669080590, preprocessing time 0.022613 seconds, query time 1339.132989 seconds,
ID 9, src 312, dst 4121, status Complete, result count 60321054881, preprocessing time 0.020738 seconds, query time 894.289657 seconds,
ID 10, src 3694, dst 1751, status Complete, result count 21868630485, preprocessing time 0.023401 seconds, query time 164.221444 seconds,
ID 11, src 3531, dst 9320, status Complete, result count 1428176945, preprocessing time 0.019957 seconds, query time 30.745214 seconds,
ID 12, src 1575, dst 24064, status Complete, result count 28632573, preprocessing time 0.015077 seconds, query time 0.919162 seconds,
ID 13, src 11618, dst 13217, status Complete, result count 11522473, preprocessing time 0.012545 seconds, query time 0.290358 seconds,
ID 14, src 25816, dst 15696, status Complete, result count 10048671, preprocessing time 0.012614 seconds, query time 0.276296 seconds,
ID 15, src 3766, dst 11336, status Complete, result count 662192496, preprocessing time 0.016936 seconds, query time 16.023418 seconds,
ID 16, src 9075, dst 11229, status Complete, result count 26074979, preprocessing time 0.015201 seconds, query time 0.747471 seconds,
ID 17, src 867, dst 9406, status Complete, result count 2311354829, preprocessing time 0.014919 seconds, query time 47.358496 seconds,
ID 18, src 31264, dst 1008, status Complete, result count 1819295906, preprocessing time 0.019309 seconds, query time 22.396752 seconds,
ID 19, src 839, dst 5847, status Complete, result count 8098632662, preprocessing time 0.019273 seconds, query time 163.828940 seconds,
ID 20, src 1373, dst 2055, status Complete, result count 7207084895, preprocessing time 0.018492 seconds, query time 129.106970 seconds,
ID 21, src 5349, dst 19736, status Complete, result count 54663857, preprocessing time 0.014477 seconds, query time 1.172429 seconds,
ID 22, src 8797, dst 6326, status Complete, result count 1907614819, preprocessing time 0.018885 seconds, query time 37.150336 seconds,
ID 23, src 414, dst 4706, status Complete, result count 49112292510, preprocessing time 0.021649 seconds, query time 780.296602 seconds,
