---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5011, dst 42727, status Complete, result count 15345153, preprocessing time 0.017236 seconds, query time 0.587753 seconds,
ID 1, src 199, dst 1569, status Complete, result count 173900311, preprocessing time 0.016410 seconds, query time 4.604838 seconds,
ID 2, src 2552, dst 27022, status Complete, result count 60123131, preprocessing time 0.014007 seconds, query time 1.673541 seconds,
ID 3, src 71386, dst 39325, status Complete, result count 3031180, preprocessing time 0.012347 seconds, query time 0.129752 seconds,
ID 4, src 22252, dst 50835, status Complete, result count 3410903, preprocessing time 0.014233 seconds, query time 0.147051 seconds,
ID 5, src 5642, dst 30632, status Complete, result count 92236806, preprocessing time 0.017981 seconds, query time 2.985302 seconds,
ID 6, src 9642, dst 63183, status Complete, result count 5353813, preprocessing time 0.014046 seconds, query time 0.230868 seconds,
ID 7, src 7429, dst 49793, status Complete, result count 4191568, preprocessing time 0.012821 seconds, query time 0.196946 seconds,
ID 8, src 24229, dst 50127, status Complete, result count 540965, preprocessing time 0.011510 seconds, query time 0.034808 seconds,
ID 9, src 353, dst 40630, status Complete, result count 51033252, preprocessing time 0.015149 seconds, query time 2.057881 seconds,
ID 10, src 399, dst 52193, status Complete, result count 4543626, preprocessing time 0.013497 seconds, query time 0.211459 seconds,
ID 11, src 5513, dst 42347, status Complete, result count 21428726, preprocessing time 0.015680 seconds, query time 0.636284 seconds,
ID 12, src 12482, dst 66137, status Complete, result count 44196, preprocessing time 0.008431 seconds, query time 0.010945 seconds,
ID 13, src 6011, dst 38610, status Complete, result count 10164232, preprocessing time 0.013554 seconds, query time 0.422039 seconds,
ID 14, src 3420, dst 16239, status Complete, result count 24014598, preprocessing time 0.013706 seconds, query time 0.968152 seconds,
ID 15, src 20842, dst 30936, status Complete, result count 4797703, preprocessing time 0.014956 seconds, query time 0.245154 seconds,
ID 16, src 6144, dst 54082, status Complete, result count 8354776, preprocessing time 0.014646 seconds, query time 0.317469 seconds,
ID 17, src 7692, dst 4293, status Complete, result count 17823121, preprocessing time 0.016124 seconds, query time 0.720908 seconds,
ID 18, src 13947, dst 6271, status Complete, result count 26995042, preprocessing time 0.014316 seconds, query time 0.688811 seconds,
ID 19, src 1124, dst 22623, status Complete, result count 73773652, preprocessing time 0.014149 seconds, query time 2.203295 seconds,
ID 20, src 5376, dst 11142, status Complete, result count 112955727, preprocessing time 0.016997 seconds, query time 3.197637 seconds,
ID 21, src 5913, dst 16541, status Complete, result count 10380006, preprocessing time 0.014377 seconds, query time 0.421194 seconds,
