---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 18932, dst 4332, status Complete, result count 69291917, preprocessing time 0.019562 seconds, query time 1.538442 seconds,
ID 1, src 19902, dst 3890, status Complete, result count 4040619, preprocessing time 0.015617 seconds, query time 0.121155 seconds,
ID 2, src 35197, dst 7302, status Complete, result count 5260046, preprocessing time 0.016184 seconds, query time 0.151623 seconds,
ID 3, src 66745, dst 9306, status Complete, result count 52943, preprocessing time 0.006815 seconds, query time 0.008061 seconds,
ID 4, src 18282, dst 17966, status Complete, result count 15989181, preprocessing time 0.014093 seconds, query time 0.467445 seconds,
ID 5, src 35525, dst 19154, status Complete, result count 8385460, preprocessing time 0.015864 seconds, query time 0.199730 seconds,
ID 6, src 60809, dst 4326, status Complete, result count 390756, preprocessing time 0.008289 seconds, query time 0.016376 seconds,
ID 7, src 35912, dst 3075, status Complete, result count 3753532, preprocessing time 0.013241 seconds, query time 0.094038 seconds,
ID 8, src 70665, dst 18955, status Complete, result count 121, preprocessing time 0.000194 seconds, query time 0.000203 seconds,
ID 9, src 9120, dst 127, status Complete, result count 464308976, preprocessing time 0.015430 seconds, query time 2.001465 seconds,
ID 10, src 57490, dst 3669, status Complete, result count 2431891, preprocessing time 0.012706 seconds, query time 0.071985 seconds,
ID 11, src 24340, dst 14959, status Complete, result count 1530212, preprocessing time 0.013424 seconds, query time 0.064458 seconds,
ID 12, src 32591, dst 16895, status Complete, result count 803524, preprocessing time 0.010782 seconds, query time 0.035984 seconds,
ID 13, src 13685, dst 2772, status Complete, result count 139049551, preprocessing time 0.014853 seconds, query time 3.146429 seconds,
ID 14, src 52626, dst 15380, status Complete, result count 885288, preprocessing time 0.014232 seconds, query time 0.039927 seconds,
ID 15, src 48637, dst 2476, status Complete, result count 1654939, preprocessing time 0.010604 seconds, query time 0.035821 seconds,
ID 16, src 12103, dst 9069, status Complete, result count 296948377, preprocessing time 0.018048 seconds, query time 6.697728 seconds,
ID 17, src 50409, dst 2943, status Complete, result count 3188708, preprocessing time 0.012121 seconds, query time 0.075531 seconds,
ID 18, src 45178, dst 7077, status Complete, result count 1953001, preprocessing time 0.012659 seconds, query time 0.054937 seconds,
ID 19, src 69150, dst 4598, status Complete, result count 13567, preprocessing time 0.003501 seconds, query time 0.003829 seconds,
ID 20, src 29291, dst 716, status Complete, result count 1469502125, preprocessing time 0.015773 seconds, query time 11.130435 seconds,
ID 21, src 63140, dst 282, status Complete, result count 3533964, preprocessing time 0.012056 seconds, query time 0.055692 seconds,
ID 22, src 12078, dst 14478, status Complete, result count 2853638, preprocessing time 0.012120 seconds, query time 0.078856 seconds,
ID 23, src 12276, dst 10550, status Complete, result count 47787890, preprocessing time 0.015694 seconds, query time 1.088161 seconds,
ID 24, src 73363, dst 25816, status Complete, result count 546973, preprocessing time 0.011539 seconds, query time 0.032107 seconds,
ID 25, src 44162, dst 8613, status Complete, result count 24545362, preprocessing time 0.015952 seconds, query time 0.563992 seconds,
ID 26, src 69071, dst 5423, status Complete, result count 156834, preprocessing time 0.008962 seconds, query time 0.011177 seconds,
ID 27, src 46312, dst 9503, status Complete, result count 9587376, preprocessing time 0.014414 seconds, query time 0.228307 seconds,
ID 28, src 6058, dst 3168, status Complete, result count 112404503, preprocessing time 0.015922 seconds, query time 2.140287 seconds,
ID 29, src 53085, dst 21449, status Complete, result count 426681, preprocessing time 0.011359 seconds, query time 0.023241 seconds,
ID 30, src 39938, dst 4963, status Complete, result count 37078097, preprocessing time 0.016136 seconds, query time 0.711539 seconds,
ID 31, src 21506, dst 349, status Complete, result count 1494191623, preprocessing time 0.021230 seconds, query time 9.581456 seconds,
ID 32, src 68593, dst 8374, status Complete, result count 841, preprocessing time 0.001478 seconds, query time 0.001508 seconds,
ID 33, src 19638, dst 6391, status Complete, result count 141578629, preprocessing time 0.019004 seconds, query time 3.162865 seconds,
ID 34, src 9803, dst 20563, status Complete, result count 24941268, preprocessing time 0.014193 seconds, query time 0.536692 seconds,
ID 35, src 37062, dst 1506, status Complete, result count 101818362, preprocessing time 0.017002 seconds, query time 2.018600 seconds,
ID 36, src 56346, dst 4461, status Complete, result count 199238, preprocessing time 0.010393 seconds, query time 0.015436 seconds,
ID 37, src 52048, dst 18002, status Complete, result count 2843309, preprocessing time 0.012202 seconds, query time 0.078683 seconds,
ID 38, src 27001, dst 4457, status Complete, result count 347739, preprocessing time 0.010701 seconds, query time 0.020823 seconds,
ID 39, src 28054, dst 3803, status Complete, result count 7575325, preprocessing time 0.011781 seconds, query time 0.205353 seconds,
ID 40, src 65017, dst 677, status Complete, result count 72110, preprocessing time 0.007394 seconds, query time 0.009104 seconds,
ID 41, src 14830, dst 3177, status Complete, result count 361746602, preprocessing time 0.015393 seconds, query time 4.536508 seconds,
ID 42, src 71879, dst 2286, status Complete, result count 6522889, preprocessing time 0.012401 seconds, query time 0.154667 seconds,
ID 43, src 37136, dst 8680, status Complete, result count 52070465, preprocessing time 0.015336 seconds, query time 1.027807 seconds,
ID 44, src 16032, dst 12498, status Complete, result count 1640378, preprocessing time 0.012485 seconds, query time 0.054608 seconds,
ID 45, src 46385, dst 8437, status Complete, result count 3814478, preprocessing time 0.012493 seconds, query time 0.098065 seconds,
ID 46, src 31225, dst 8136, status Complete, result count 37015687, preprocessing time 0.014278 seconds, query time 0.835308 seconds,
ID 47, src 39039, dst 365, status Complete, result count 117981675, preprocessing time 0.015156 seconds, query time 1.271328 seconds,
ID 48, src 72528, dst 233, status Complete, result count 1094365458, preprocessing time 0.016739 seconds, query time 5.074254 seconds,
ID 49, src 52095, dst 5173, status Complete, result count 766144, preprocessing time 0.009798 seconds, query time 0.026789 seconds,
ID 50, src 56067, dst 33304, status Complete, result count 71702, preprocessing time 0.009395 seconds, query time 0.011745 seconds,
ID 51, src 74591, dst 7409, status Complete, result count 2579874, preprocessing time 0.011941 seconds, query time 0.091064 seconds,
ID 52, src 6387, dst 7490, status Complete, result count 447702135, preprocessing time 0.017690 seconds, query time 7.097906 seconds,
ID 53, src 37343, dst 8550, status Complete, result count 567119, preprocessing time 0.011102 seconds, query time 0.024758 seconds,
