---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 23040, dst 34893, status Complete, result count 15499, preprocessing time 0.007013 seconds, query time 0.007687 seconds,
ID 1, src 56150, dst 39075, status Complete, result count 9500, preprocessing time 0.004332 seconds, query time 0.004722 seconds,
ID 2, src 60918, dst 49836, status Complete, result count 7339, preprocessing time 0.003968 seconds, query time 0.004273 seconds,
ID 3, src 70017, dst 61901, status Complete, result count 1, preprocessing time 0.000004 seconds, query time 0.000006 seconds,
ID 4, src 19252, dst 37604, status Complete, result count 56448, preprocessing time 0.007849 seconds, query time 0.010348 seconds,
ID 5, src 11680, dst 25456, status Complete, result count 3591759, preprocessing time 0.014074 seconds, query time 0.122999 seconds,
ID 6, src 55402, dst 12011, status Complete, result count 164429, preprocessing time 0.009477 seconds, query time 0.013679 seconds,
ID 7, src 63152, dst 19966, status Complete, result count 16844, preprocessing time 0.006281 seconds, query time 0.006917 seconds,
ID 8, src 3029, dst 13255, status Complete, result count 5042246, preprocessing time 0.011136 seconds, query time 0.169701 seconds,
ID 9, src 53109, dst 8603, status Complete, result count 640026, preprocessing time 0.011366 seconds, query time 0.028355 seconds,
ID 10, src 12605, dst 29702, status Complete, result count 6848331, preprocessing time 0.015365 seconds, query time 0.300934 seconds,
ID 11, src 36362, dst 16268, status Complete, result count 542332, preprocessing time 0.013049 seconds, query time 0.026048 seconds,
ID 12, src 6178, dst 36349, status Complete, result count 5382690, preprocessing time 0.012107 seconds, query time 0.201134 seconds,
ID 13, src 20825, dst 49678, status Complete, result count 3441, preprocessing time 0.004061 seconds, query time 0.004213 seconds,
ID 14, src 67621, dst 36418, status Complete, result count 13431, preprocessing time 0.006168 seconds, query time 0.006709 seconds,
ID 15, src 16942, dst 17050, status Complete, result count 223478, preprocessing time 0.009176 seconds, query time 0.017793 seconds,
ID 16, src 30984, dst 48422, status Complete, result count 458488, preprocessing time 0.011322 seconds, query time 0.031778 seconds,
ID 17, src 33697, dst 75181, status Complete, result count 129476, preprocessing time 0.008770 seconds, query time 0.013383 seconds,
ID 18, src 6981, dst 34556, status Complete, result count 714096, preprocessing time 0.009215 seconds, query time 0.031341 seconds,
ID 19, src 22715, dst 54587, status Complete, result count 14840, preprocessing time 0.006937 seconds, query time 0.007807 seconds,
ID 20, src 61328, dst 54849, status Complete, result count 2606, preprocessing time 0.002870 seconds, query time 0.002979 seconds,
ID 21, src 41866, dst 74861, status Complete, result count 128137, preprocessing time 0.008061 seconds, query time 0.013008 seconds,
ID 22, src 61994, dst 28798, status Complete, result count 3317, preprocessing time 0.003915 seconds, query time 0.004075 seconds,
ID 23, src 61397, dst 26654, status Complete, result count 1, preprocessing time 0.000005 seconds, query time 0.000007 seconds,
ID 24, src 14738, dst 47716, status Complete, result count 201988, preprocessing time 0.008142 seconds, query time 0.016502 seconds,
ID 25, src 53013, dst 34114, status Complete, result count 13412, preprocessing time 0.005790 seconds, query time 0.006255 seconds,
ID 26, src 41665, dst 32725, status Complete, result count 97782, preprocessing time 0.007485 seconds, query time 0.010889 seconds,
ID 27, src 44450, dst 22295, status Complete, result count 9092, preprocessing time 0.004096 seconds, query time 0.004366 seconds,
ID 28, src 18683, dst 10443, status Complete, result count 24034664, preprocessing time 0.014252 seconds, query time 0.692463 seconds,
ID 29, src 75316, dst 72219, status Complete, result count 1, preprocessing time 0.000011 seconds, query time 0.000016 seconds,
ID 30, src 33520, dst 21736, status Complete, result count 582410, preprocessing time 0.012174 seconds, query time 0.027184 seconds,
ID 31, src 13952, dst 24941, status Complete, result count 393363, preprocessing time 0.011995 seconds, query time 0.029517 seconds,
ID 32, src 60115, dst 6415, status Complete, result count 935588, preprocessing time 0.011651 seconds, query time 0.034004 seconds,
ID 33, src 40459, dst 73962, status Complete, result count 288220, preprocessing time 0.010471 seconds, query time 0.021829 seconds,
ID 34, src 29062, dst 11400, status Complete, result count 7947838, preprocessing time 0.013798 seconds, query time 0.294567 seconds,
ID 35, src 28591, dst 37348, status Complete, result count 24178, preprocessing time 0.006303 seconds, query time 0.007523 seconds,
ID 36, src 19983, dst 11696, status Complete, result count 1101345, preprocessing time 0.010500 seconds, query time 0.037867 seconds,
ID 37, src 15608, dst 17824, status Complete, result count 19107, preprocessing time 0.005923 seconds, query time 0.006962 seconds,
ID 38, src 22773, dst 55031, status Complete, result count 9349, preprocessing time 0.006119 seconds, query time 0.006690 seconds,
ID 39, src 3190, dst 53042, status Complete, result count 1603098, preprocessing time 0.012088 seconds, query time 0.077283 seconds,
ID 40, src 39021, dst 22320, status Complete, result count 77991, preprocessing time 0.008174 seconds, query time 0.011308 seconds,
ID 41, src 19060, dst 35514, status Complete, result count 915817, preprocessing time 0.012356 seconds, query time 0.050727 seconds,
ID 42, src 2567, dst 42744, status Complete, result count 1738242, preprocessing time 0.013077 seconds, query time 0.087951 seconds,
ID 43, src 69611, dst 58878, status Complete, result count 1, preprocessing time 0.000010 seconds, query time 0.000019 seconds,
ID 44, src 43588, dst 17734, status Complete, result count 7256, preprocessing time 0.005789 seconds, query time 0.006117 seconds,
ID 45, src 40880, dst 45364, status Complete, result count 165295, preprocessing time 0.009158 seconds, query time 0.015945 seconds,
ID 46, src 53877, dst 38084, status Complete, result count 17347, preprocessing time 0.004917 seconds, query time 0.005618 seconds,
ID 47, src 67802, dst 15652, status Complete, result count 295, preprocessing time 0.000738 seconds, query time 0.000757 seconds,
ID 48, src 58319, dst 26603, status Complete, result count 65241, preprocessing time 0.007423 seconds, query time 0.009771 seconds,
ID 49, src 5859, dst 60109, status Complete, result count 35685, preprocessing time 0.006356 seconds, query time 0.008331 seconds,
ID 50, src 20485, dst 25256, status Complete, result count 4023268, preprocessing time 0.011325 seconds, query time 0.120424 seconds,
ID 51, src 34346, dst 29138, status Complete, result count 905995, preprocessing time 0.010064 seconds, query time 0.044694 seconds,
ID 52, src 42400, dst 48975, status Complete, result count 9199, preprocessing time 0.005048 seconds, query time 0.005528 seconds,
ID 53, src 26578, dst 10244, status Complete, result count 10842473, preprocessing time 0.011807 seconds, query time 0.259021 seconds,
ID 54, src 52768, dst 15263, status Complete, result count 59838, preprocessing time 0.008532 seconds, query time 0.010671 seconds,
ID 55, src 20141, dst 36418, status Complete, result count 4484869, preprocessing time 0.012432 seconds, query time 0.158185 seconds,
ID 56, src 8819, dst 11316, status Complete, result count 14376935, preprocessing time 0.015999 seconds, query time 0.357077 seconds,
ID 57, src 13493, dst 57123, status Complete, result count 16093, preprocessing time 0.007363 seconds, query time 0.008366 seconds,
ID 58, src 63585, dst 32500, status Complete, result count 1, preprocessing time 0.000006 seconds, query time 0.000010 seconds,
ID 59, src 48387, dst 73057, status Complete, result count 5146373, preprocessing time 0.013129 seconds, query time 0.160772 seconds,
ID 60, src 32898, dst 74183, status Complete, result count 716704, preprocessing time 0.010339 seconds, query time 0.034533 seconds,
ID 61, src 27535, dst 53804, status Complete, result count 3549, preprocessing time 0.004498 seconds, query time 0.004742 seconds,
ID 62, src 32769, dst 4756, status Complete, result count 29376253, preprocessing time 0.013806 seconds, query time 0.814960 seconds,
